date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,uv_index,uv_index_clear_sky,is_day,location,key
2024-08-12 02:00:00+00:00,29.130499,64.0,21.62558,32.42603,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,9.693296,148.67137,0.0,0.0,0.0,Houston,Houston 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,20.779999,44.0,8.082467,19.225716,0.0,0.0,0.0,0.0,0.0,14.0,45000.0,7.208994,272.86234,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,21.117,93.0,19.940102,24.059837,85.0,0.0,0.0,0.0,0.0,100.0,12300.0,6.12,208.07239,0.55,0.85,1.0,San Diego,San Diego 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,32.0975,50.0,20.370127,33.95218,34.0,0.0,0.0,0.0,0.0,100.0,37200.0,14.982228,144.78232,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,26.186499,62.0,18.333548,27.794758,0.0,0.0,0.0,0.0,0.0,4.0,26700.0,9.9571085,192.5288,1.0,1.0,1.0,Los Angeles,Los Angeles 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,36.836998,29.0,15.894573,37.630634,0.0,0.0,0.0,0.0,0.0,23.0,62200.0,8.287822,272.4895,0.5,0.5,1.0,Phoenix,Phoenix 2024-08-12 02:00:00+00:00
2024-08-12 02:00:00+00:00,32.626,44.0,18.79248,33.425835,0.0,0.0,0.0,0.0,0.0,8.0,44000.0,16.904673,116.56499,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 02:00:00+00:00
2024-08-12 03:00:00+00:00,18.074001,79.0,14.375226,17.823729,0.0,0.0,0.0,0.0,0.0,4.0,18000.0,11.570515,354.64426,0.3,0.3,1.0,San Jose,San Jose 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,28.280499,73.0,22.977787,32.646793,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,7.628263,160.70985,0.0,0.0,0.0,Houston,Houston 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,19.529999,48.0,8.225558,17.890127,0.0,0.0,0.0,0.0,0.0,2.0,40400.0,8.049845,259.69522,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,24.2365,69.0,18.18835,26.445023,0.0,0.0,0.0,0.0,0.0,1.0,22900.0,5.3999996,216.86998,0.1,0.1,0.0,Los Angeles,Los Angeles 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,35.037,33.0,16.367203,36.078087,0.0,0.0,0.0,0.0,0.0,0.0,57800.0,7.92,270.0,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,22.1635,63.0,14.788225,22.5263,0.0,0.0,0.0,0.0,0.0,47.0,28000.0,8.4042845,260.13425,0.0,0.0,0.0,New York,New York 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,31.1975,52.0,20.177938,32.789818,45.0,0.0,0.0,0.0,0.0,100.0,36000.0,16.1198,150.57263,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,21.048,78.0,17.063745,22.695992,0.0,0.0,0.0,0.0,0.0,0.0,20400.0,5.8603754,222.5104,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,20.767,94.0,19.765541,23.569166,77.0,0.0,0.0,0.0,0.0,99.0,12200.0,6.489992,236.3099,0.05,0.1,0.0,San Diego,San Diego 2024-08-12 03:00:00+00:00
2024-08-12 03:00:00+00:00,31.126,52.0,20.11207,32.34661,0.0,0.0,0.0,0.0,0.0,8.0,34900.0,18.440998,128.65984,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 03:00:00+00:00
2024-08-12 04:00:00+00:00,27.8305,78.0,23.640587,32.560616,0.0,0.0,0.0,0.0,0.0,1.0,19500.0,7.8625183,164.05453,0.0,0.0,0.0,Houston,Houston 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,20.563501,72.0,15.34021,21.313915,0.0,0.0,0.0,0.0,0.0,97.0,22200.0,7.2,323.13,0.0,0.0,0.0,New York,New York 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,20.398,83.0,17.413424,22.264551,0.0,0.0,0.0,0.0,0.0,48.0,17900.0,5.3999996,216.86998,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,18.63,54.0,9.137822,17.106316,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,8.905908,255.96373,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,20.667,94.0,19.6663,23.752108,55.0,0.0,0.0,0.0,0.0,100.0,12200.0,4.2136917,289.9832,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,16.824001,85.0,14.286954,16.8602,0.0,0.0,0.0,0.0,0.0,6.0,15500.0,9.3876505,355.60138,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,22.4865,77.0,18.25323,24.87498,0.0,0.0,0.0,0.0,0.0,14.0,18400.0,4.379589,260.53775,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,30.1975,55.0,20.160524,31.858757,57.0,0.0,0.0,0.0,0.0,88.0,33200.0,15.596767,161.14674,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,33.887,37.0,17.16202,35.415165,0.0,0.0,0.0,0.0,0.0,0.0,52400.0,6.87779,263.9911,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 04:00:00+00:00
2024-08-12 04:00:00+00:00,29.825998,69.0,23.525217,32.99793,0.0,0.0,0.0,0.0,0.0,0.0,23100.0,18.043148,151.38963,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 04:00:00+00:00
2024-08-12 05:00:00+00:00,33.086998,38.0,16.87551,34.451233,0.0,0.0,0.0,0.0,0.0,0.0,51100.0,7.172949,252.47433,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,27.4805,82.0,24.1321,32.59073,0.0,0.0,0.0,0.0,0.0,1.0,17700.0,7.342588,168.69011,0.0,0.0,0.0,Houston,Houston 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,20.717001,94.0,19.715923,23.883,32.0,0.0,0.0,0.0,0.0,94.0,12200.0,3.8268526,311.18582,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,21.536499,83.0,18.526217,23.999517,0.0,0.0,0.0,0.0,0.0,5.0,16000.0,4.73506,278.74606,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,19.963501,76.0,15.605357,21.398407,0.0,0.0,0.0,0.0,0.0,0.0,21300.0,3.219938,296.56497,0.0,0.0,0.0,New York,New York 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,28.726,72.0,23.177624,31.873333,0.0,0.0,0.0,0.0,0.0,0.0,21400.0,16.79314,149.03632,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,29.4475,58.0,20.321693,31.32407,69.0,0.0,0.0,0.0,0.0,92.0,30500.0,14.689589,162.89719,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,19.848,86.0,17.436981,21.56624,0.0,0.0,0.0,0.0,0.0,2.0,16300.0,6.489992,236.3099,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,16.374,88.0,14.381148,16.667328,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,7.8625183,344.05453,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 05:00:00+00:00
2024-08-12 05:00:00+00:00,17.83,58.0,9.4538,16.443922,0.0,0.0,0.0,0.0,0.0,5.0,31800.0,8.557102,255.37909,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 05:00:00+00:00
2024-08-12 06:00:00+00:00,20.7365,88.0,18.676325,23.578344,0.0,0.0,0.0,0.0,0.0,13.0,14300.0,2.6208394,254.05453,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,19.563501,75.0,15.012423,21.1859,0.0,0.0,0.0,0.0,0.0,0.0,21800.0,0.35999998,270.0,0.0,0.0,0.0,New York,New York 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,20.517,95.0,19.687849,23.66192,10.0,0.0,0.0,0.0,0.0,100.0,12200.0,3.8773184,338.19852,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,28.6975,59.0,19.896631,30.591705,81.0,0.0,0.0,0.0,0.0,81.0,30100.0,13.1041975,164.05453,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,27.3305,84.0,24.38751,32.88348,0.0,0.0,0.0,0.0,0.0,0.0,16800.0,5.4119864,176.186,0.0,0.0,0.0,Houston,Houston 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,15.874,89.0,14.063044,16.513643,0.0,0.0,0.0,0.0,0.0,1.0,14600.0,4.6938257,327.52884,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,27.876,74.0,22.813232,31.238499,0.0,0.0,0.0,0.0,0.0,1.0,20200.0,13.854155,155.43285,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,19.548,87.0,17.325287,21.606195,0.0,0.0,0.0,0.0,0.0,1.0,16600.0,3.8268526,228.81418,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,17.08,60.0,9.253885,15.6514435,0.0,0.0,0.0,0.0,0.0,90.0,29900.0,8.473393,257.73523,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 06:00:00+00:00
2024-08-12 06:00:00+00:00,32.137,38.0,16.033619,33.41189,0.0,0.0,0.0,0.0,0.0,0.0,50600.0,5.4119864,273.814,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 06:00:00+00:00
2024-08-12 07:00:00+00:00,26.976,82.0,23.639997,31.349442,0.0,0.0,0.0,0.0,0.0,3.0,16300.0,10.315115,150.75127,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,28.0475,60.0,19.558292,29.750153,57.0,0.0,0.0,0.0,0.0,100.0,29000.0,13.276144,167.4712,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,19.3635,71.0,13.971332,20.50471,0.0,0.0,0.0,0.0,0.0,0.0,24100.0,1.0182338,135.0001,0.0,0.0,0.0,New York,New York 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,16.48,62.0,9.175408,14.8918705,0.0,0.0,0.0,0.0,0.0,100.0,28500.0,9.422101,263.41815,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,20.1365,90.0,18.443867,22.666058,0.0,0.0,0.0,0.0,0.0,11.0,13300.0,4.0249224,296.56497,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,19.098,88.0,17.063238,20.864805,0.0,0.0,0.0,0.0,0.0,67.0,15800.0,5.0528407,184.08554,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,20.567001,96.0,19.906443,23.953028,9.0,0.0,0.0,0.0,0.0,100.0,12200.0,2.968636,14.036275,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,27.1805,86.0,24.633759,33.562828,0.0,0.0,0.0,0.0,0.0,4.0,16000.0,0.8049845,206.56499,0.0,0.0,0.0,Houston,Houston 2024-08-12 07:00:00+00:00
